name,tagline,technologies,slots,year
"Developers Italia","An open community digital public services developers","python,ruby,node.js, java,c/c++",2,2018
"Digital Impact Alliance","Supporting open source projects for a digital society that serves everyone.","android,java,php, python, javascript",2,2018
"Earth Science Information Partners (ESIP)","Making Earth science data matter."," kubernetes, dask, xarray, python,javascript",2,2018
Elastic,"We are the creators of Elasticsearch, Kibana, Beats, and Logstash."," java,golang,node.js,react,jruby",2,2018
Eta,"Eta is a dialect of Haskell on the Java Virtual Machine.","haskell,jvm, java",2,2018
"Free UK Genealogy","Human transcription of family history data","mongodb,ruby on rails,mysql,python, css/html",2,2018
"Genes, Genomes and Variation","Genomic sequence and annotation databases and browsers","perl,mysql,java script",2,2018
"Gentoo Foundation","A flexible, source-based Linux distribution."," shell script,bash,c/c++, python,linux",2,2018
"GNU Radio","The free & open software radio ecosystem","c++,python,simd,qt",2,2018
Haiku,"Integrated operating system for personal computers","c++,webkit,ffmpeg,posix,bsd unix",2,2018
"Inria Foundation","SOFA is an efficient simulation engine for research in medical simulation.","c/c++,qt,webassembly,asm,communication protocol",2,2018
"Internet Systems Consortium","We support critical internet infrastructure with quality open source","dhcp,c/c++,mysql,cassandra,rest",2,2018
"Jenkins project","Jenkins is an open-source automation server"," java,groovy, javascript",2,2018
JGraphT,"Java library that provides graph data-structures and algorithms.",java,2,2018
"JSK Robotics Laboratory / The University of Tokyo","JSK is focusing on the fundamental functions & systems for intelligent robots .",ros,2,2018
Kiwix,"Internet content for people without internet access","android,java,c++,python,qt",2,2018
languagetool.org,"Style and grammar checker","java,javascript,machine learning,ai,tensorflow",2,2018
libvirt,"Toolkit to manage virtualization hosts from many languages","hypervisor,kvm,xen,lxc",2,2018
LuaRocks,"The package manager for the Lua programming language","lua,linux,windows,unix,c",2,2018
Matrix.org,"An ambitious open ecosystem for decentralised, encrypted communication.","golang,ios, android, python,react",2,2018
"Mixxx DJ Software","DJ Your Way, For Free. Join our friendly community of hackers, DJs, and artists!","qt,audio,music,real-time,c++",2,2018
Neovim,"Vim-fork focused on extensibility and usability","lua,c,vim,javascript, python",2,2018
"Open Data Kit","Open Data Kit is used to collect data for social good in difficult environments."," android, java",2,2018
"Open Food Facts","A collaborative, free and open database of food and cosmetic products.","perl,mongodb,ios,android,machine learning",2,2018
"Open Roberta Lab","Open Roberta® Lab is an online IDE introducing kids to program robots with NEPO®","java,javascript",2,2018
openSUSE,"The makers' choice for sysadmins, developers and desktop users.","ruby on rail,perl, ruby,html/javascript,c/c++",2,2018
OpenWISP,"Open Source solution to build and manage wifi networks","python,django,javascript,openwrt,linux",2,2018
OpnTec,"Developing Open Event Solutions for Everyone","python,javascript,emberjs,cloud,android",2,2018
"phpBB Forum Software","phpBB is the most widely used free and open-source forum solution.","mysql, javascript,html5/css3,php,symfony",2,2018
"Pocket Science Lab","Miniaturizing the Open Science Lab with Open Hardware and Open Source Software","android,java,firmware,c,cad",2,2018
Probot,"Automate and improve GitHub workflows","javascript,node,github",2,2018
"Python HYDRA","Build better Web APIs. Enable smart clients.","python,rdf,flask,hydra,json/json-ld",2,2018
"Ruby on Rails","Ruby on Rails is web framework that optimizes for programmer happinness.","ruby,ruby on rails,html",2,2018
"Space @ Virginia Tech","Space@VT is devoted to the investigation of the space environment.","python,javascript,d3,mysql,mongodb",2,2018
Stemformatics,"Stemformatics is a web-based pocket dictionary for stem cell scientists.","python,javascript,postgresql",2,2018
"Stony Brook University Biomedical Informatics","Advance biomedical knowledge through innovative data science research","python,matlab,c++,javascript",2,2018
strace,"linux syscall tracer","linux,c,git,shell script,make",2,2018
Submitty,"Programming assignment submission with automated grading and manual TA grading","python,c++,databases,web/html/css,php/javascript/ajax",2,2018
"The Center for Connected Learning and Computer-Based Modeling","NetLogo: A language and IDE for programming and scientific simulations"," javascript,scala,html5/css3",2,2018
"The Vega Visualization Tools by the UW Interactive Data Lab","Declarative formats & Applications for Creating, Saving & Sharing Visualizations","javascript,typescript,react,d3.js",2,2018
"The Wine Project","Wine runs Windows applications on Linux, BSD, Solaris, macOS and Android."," directx, x11, win32,opengl,c",2,2018
TimVideos.us,"Software+hardware for recording & streaming conferences, meetings, user groups.","fpga,verilog,python,c",2,2018
ViSP,"Visual tracking and visual servoing library",c/c++,2,2018
"X.org Foundation","X Window System and related projects (Mesa, DRI, Wayland, etc.)","opengl,vulkan,x11,wayland,opencl",2,2018
"Xapian Search Engine Library","Fast, scalable and flexible search","c++,unicode,swig,linux,golang",2,2018
"XBMC Foundation","The ultimate entertainment center","python,c/c++,github,mysql",2,2018
"52° North Initiative for Geospatial Open Source Software GmbH","52°North works on innovative ideas and technologies in geoinformatics","javascript, java,spring,r,big data",1,2018
Drupal,"Drupal is a Free, Open, Modular CMS written in PHP. Let's make something amazing","web,web development,content management system,cms,object-oriented",1,2018
FOSSology,"Open Source License Compliance by Open Source Software","php,postgresql,lamp,linux,c/c++",1,2018
"GENIVI Alliance","Developing open software for IVI and the connected car.","yocto,c/c++,java",1,2018
"GNU Compiler Collection (GCC)",GCC,"c++,c,openmp",1,2018
gRPC,"A high performance, open-source universal RPC framework","grpc,microservices,distributed systems,cloud",1,2018
Homebrew,"An open source, console package manager for macOS","ruby,git,macos,rspec,bash",1,2018
"Intel Media And Audio For Linux","Open Source Media libraries, Applications,  User space driver and Specification.","video,codecs,hardware acceleration,va-api,c",1,2018
"LEAP Encryption Access Project","We make encryption easy to use.","python,twisted,javascript,openvpn,gnupg",1,2018
"MariaDB Foundation","One of the most popular databases on the web with many notable users","mariadb,mysql,c,c++,java",1,2018
"Mobile Robot Programming Toolkit (MRPT)","Empowering C++ development in robotics","c/c++,cmake,python,webs",1,2018
omegaUp.com,"omegaUp is aimed to increase the number of talented Software Engineers in LatAm.","php,mysql, python",1,2018
OpenCensus,"Planet Scale Tracing and Monitoring","python,java,ruby,node,go",1,2018
P2PSP.org,"Shaping the future Internet TV","python, javascript,webrtc,sockets,c/c++",1,2018
"PEcAn Project","Develop accessible tools for reproducible ecosystem modeling and forecasting"," javascript,postgresql, php,c,r",1,2018
PMD,"An extensible cross-language static code analyzer.","java,xml,javacc,antlr,xpath",1,2018
"Purr Data","Visual Programming Language for Realtime Multimedia","javascript,html5/css3,node.js,c/c++",1,2018
Quill.org,"Helping millions of learners become better writers and critical thinkers","ruby,rails,react,javascript,postgresql",1,2018
ReactOS,"ReactOS is a free, open source, Windows compatible operating system.","c,c++",1,2018
"Read the Docs","Read the Docs hosts documentation for the open source community.","python,sphinx,django,javascript,elasticsearch",1,2018
Scala,"The programming language where object-oriented meets functional.","scala,jvm,llvm",1,2018
Seastar,"Framework for writing high-performance server applications on modern hardware","cpp,framework,dpdk,tcp,linux",1,2018
"Software and Computational Systems Lab at LMU Munich","Software Analysis, Software Verification, and Benchmarking","java,python, javascript",1,2018
Streetmix,"Design, remix, and share your neighborhood street, all in your browser.","javascript,react,redux,postgresql,mongodb",1,2018
"The Qt Project","The Qt Project co-ordinates the development of the Qt software framework.","c++11,cpp,qt,qml,opengl",1,2018
"The syslog-ng project.","Open source log management solution with over a million users worldwide.","java,c/c++,big data,elasticsearch,rest",1,2018
TLA+,"TLA+ is a formal specification language used to design, model and verify systems","java,tla+,eclipse,ocaml,smt",1,2018
"UCSC Xena","Helping biologists see the bigger picture in diverse cancer genomics data"," javascript,python,clojure,react,jvm",1,2018
vitrivr,"vitrivr - the open-source multimedia search engine","java,angularjs,spark,grpc",1,2018
"Django Software Foundation","The web framework for perfectionists with deadlines.","python,django",0,2018
Inkscape,"Inkscape is a professional vector graphics editor for Windows, Mac OSX, & Linux.","svg,css,c++11, python,gtk+",0,2018
Moodle,"Empowering educators to improve our world","php, javascript,ionic,sql,angular",0,2018
"Open States","Open Source State Legislative Data","python,django,react,graphql,postgresql",0,2018
OpenSIPS,"A multi-purpose Open Source SIP proxy/server for carriers, telecoms or ITSPs","c, python,mysql,scripting",0,2018
OW2,"The open source community for infrastructure software.","java,perl,middleware,bpm,wiki",0,2018
Rspamd,"An advanced spam filtering system","c,machine learning,javascript,lua",0,2018
Swift,"Swift is a high-performance system programming language.","c++,llvm, cmake,swift",0,2018
"The MacPorts Project","Open Source package manager for macOS","tcl,html/javascript,frontend,vue.js,react.js",0,2018
xpra.org,"Screen for X11, remote desktop platform.","python,javascript,compression,remote access,cython",0,2018
