name,tagline,technologies,slots,year
NumFOCUS,"Open Code = Better Science","python,julia,r,javascript,c++",40,2018
FOSSASIA,"Improve People's Lives","java,javascript,python,android,artificial intelligence",32,2018
CERN-HSF,"Umbrella organization for Particle (High-energy) Physics-related projects","c/c++,python,data analysis,machine learning,parallelization",26,2018
"R project for statistical computing","R is a free software environment for statistical computing and graphics","r-project,c,c++,javascript,fortran",24,2018
"Apache Software Foundation","Providing open source software to the public free of charge","c,java,erlang",23,2018
"Debian Project","the universal operating system","javascript, ruby, java, python,c/c++",22,2018
"Sustainable Computing Research Group (SCoRe)","SCoRe has conducted research covering various aspects of Security, Mobile & IOT.","android,java,go,node,pyth",18,2018
"KDE Community","Experience Freedom!","qt,c/c++,qml",17,2018
"The Honeynet Project","The Honeynet Project - R&D for Honeypot/Honeynet Technology and InfoSec Research","python 3, python,golang,c/c++,machine learning",17,2018
INCF,"Advancing global collaborative brain research","python,c/c++,javascript,cuda,xml",16,2018
Mozilla,"Internet for people, not profit.","javascript,c++,rust,python,css",16,2018
"The Processing Foundation","Our goal is to empower people of all backgrounds to learn how to program.","java,javascript,python,android,opengl",16,2018
Haskell.org,"Standardized, statically typed, lazy functional programming language",haskell,15,2018
coala,"Linting and Fixing Code for All Languages","django,python 3,antlr,emberjs,reactjs",14,2018
"Python Software Foundation","Python is a programming language used by software developers and scientists.",python,14,2018
"AOSSIE - Australian Open Source Software Innovation and Education","Australian Umbrella Org for Open-Source Projects","scala,isabelle proof assistant,browser extension,javascript/html5/css3,android/ios",13,2018
GNOME,"A free desktop environment for GNU/Linux.","c,python, javascript,gtk+,gobject",13,2018
freifunk,"Freifunk is a non-commercial initiative for free and open wireless networks.","openwrt,javascript,html,c, python",12,2018
"The Linux Foundation","A non-profit consortium dedicated to fostering the growth of Linux","c,c++,cups,ipp",12,2018
"The Mifos Initiative","End Poverty One Line of Code at a Time","java,android,spring,angularjs,mysql",12,2018
"Wikimedia Foundation","Global movement whose mission is to bring free educational content to the world","php,javascript,ruby on rails,android,reactjs",12,2018
Apertium,"A free/open-source platform for machine translation and language technology","c++,python,xml,fsts",11,2018
"Sugar Labs","We make tools that learners use to explore, discover, create, and reflect.","python,javascript,gtk+",11,2018
"Systers Community","Helping women find their potential in code. You are not alone.","ios,android,python,ruby on rails,javascript",11,2018
"GFOSS - Open Technologies Alliance","Promote Openness with the use and development of Open Standards & Open Source.","python 3,php/javascript/html, css/html,java,c/c++",10,2018
"National Resource for Network Biology (NRNB)","Developing open source software to enable network-based biomedical discovery","java,javascript,python,html,c/c++",10,2018
OpenMRS,"Write code. Save lives."," java,spring,javascript,rest,mysql",10,2018
OSGeo,"The Open Source Geospatial Foundation","c/c++,standards,python,sql,database",10,2018
"Red Hen Lab","Research on Multimodal Communication","python,scikit-learn,tensorflow,singularity,syntaxnet",10,2018
VideoLAN,"Open Source Multimedia everywhere","c,c++,go,vue.js",10,2018
Zulip,"Powerful, modern, open source team chat, complete with apps for every platform.","python,django,javascript,react native,electron",10,2018
"Boost C++ Libraries","Boost provides free peer-reviewed portable C++ source libraries","c++11,c++14,c++,c++17",9,2018
"GNU Project","GNU is an operating system that is free software","c,lisp,python",9,2018
LibreHealth,"Healthcare for Humanity","java,php, javascript,mysql,webcomponents",9,2018
MovingBlocks,"Terasology: like an open source Minecraft - imagine the possibilities!"," java,opengl,json,blender,github",9,2018
"Public Lab","Open hardware and software to help communities measure and analyze pollution","ruby on rails,javascript,node.js",9,2018
FreeBSD,"FreeBSD: The Foundation of the Internet","c/c++,llvm, shell script,assembly,make",8,2018
"LLVM Compiler Infrastructure","LLVM Compiler Infrastructure",llvm,8,2018
OpenAstronomy,"Opening the eyes of research astronomy software to the whole world.","python,julia,c++,numba",8,2018
"OWASP Foundation","OWASP, The Open Web Application Security Project.","java,net,ruby,javascript,python",8,2018
RoboComp,"RoboComp is an open-source framework to develop and manage robot components.","c/c++,python,cmake,openscenegraph,ice - zeroc",8,2018
BRL-CAD,"Solid modeling, 3D printing, comp. graphics, & other computer-aided tech (CAx)!","c/c++,qt,opengl,opencl,tcl/tk",7,2018
"CGAL Project","C++ library of computational geometry and geometry processing","c++,github,git",7,2018
"Cloud Native Computing Foundation (CNCF)","Sustaining open source cloud native projects like Kubernetes and Prometheus","kubernetes,prometheus,grpc,docker,golang",7,2018
Joomla!,"Joomla, the flexible platform empowering website creators.","php, javascript,mysql,html5/css3,cms",7,2018
LibreOffice,"LibreOffice is the leading free and open source office suite.","c++,java,python",7,2018
"Open Chemistry","Advancing Open Source and Open Science for Chemistry","python,c++,javascript, java,opengl",7,2018
"Oppia Foundation","Adaptive, enjoyable learning experiences that provide personalized feedback.","angularjs,python, javascript,appengine, css",7,2018
Rocket.Chat,"The ultimate free open source solution for team communications"," javascript,ios,android,node,meteor.js",7,2018
SymPy,"SymPy is a Python library for symbolic mathematics.",python,7,2018
"The Eclipse Foundation","An amazing open source community of diverse technology and collaboration.","php, java,xtext,javascript,c/c++",7,2018
AerospaceResearch.net,"making space together","python,c/c++,vhdl,boinc, java",6,2018
"Beam Community","From distributed systems, to robust servers and language design on the Erlang VM","erlang,xmpp",6,2018
"CCExtractor Development","Experimenting with video software and hardware, subtitles, imaging, cloud...","c,python,arduino,node.js,c#",6,2018
"Free and Open Source Silicon Foundation","The home for open source hardware, EDA tools and the related ecosystem","fpga,verilog,c,chisel,synthesis",6,2018
"Institute for Artificial Intelligence","Research in Artificial Intelligence for Autonomous Mobile Robots","c++,python,ros,unreal engine,lisp",6,2018
InterMine,"Integrating biological data sources, making it easy to query and analyse data","postgresql, java, javascript,python,clojure",6,2018
mlpack,"a scalable C++ machine learning library",c++,6,2018
aimacode,"Code for the book ""Artificial Intelligence: A Modern Approach"""," python, java, javascript,ai,jupyter",5,2018
Amahi,"Amahi, a home digital assistant at your fingertips.","ruby on rails,golang,swift,javascript,android",5,2018
ArduPilot,"The worlds most advanced open source autopilot","drones,python,linux,c/c++,robotics",5,2018
"Blender Foundation","We build a free and open source 3D creation suite.","c,c++,python,opengl,opencl",5,2018
Catrobat,"Computational Thinking for all through visual programming on phones","java,android,ios,espresso",5,2018
CloudCV,"Building platforms for reproducible AI research","machine learning,deep learning,computer vision,artificial intelligence,cloud",5,2018
"Fedora Project","Fedora Linux is built on the foundations of Freedom, Friends, Features, & First","linux,python,git,postgresql,ansible",5,2018
FFmpeg,"A complete, cross-platform solution to record, convert & stream audio and video.","c,asm,git",5,2018
GNSS-SDR,"An open source Global Navigation Satellite Systems software-defined receiver","c/c++,gnss,c++11,c++14",5,2018
"Godot Engine","Godot is a multi-platform 2D and 3D game engine with a feature-rich editor","c++,cpp,opengl,github,crossplatform",5,2018
"Inclusive Design Institute","The IDI addresses the challenge of designing ICT to work for all potential users","javascript,html,css,node.js,php",5,2018
"Internet Archive","Universal Access to All Knowledge","pthon,javascript",5,2018
"JdeRobot - Universidad Rey Juan Carlos","A software framework for developing applications in robotics and computer vision","ros,python,c++,gazebo,opencv",5,2018
LabLua,"Programming Languages Research with emphasis on the Lua language","lua,céu",5,2018
"MetaBrainz Foundation Inc.","Curating open data sets with open source softer and loads of volunteers.","python,perl,javascript,postgresql,react",5,2018
Metasploit,"The world’s most used penetration testing framework","ruby,postgresql,python,c,assembly",5,2018
"Open Bioinformatics Foundation","Promoting practice & philosophy of OSS & Open Science in biological research.","python, javascript,d,php,c/c++",5,2018
OpenStreetMap,"Creating and distributing free geographic data for the world.","postgis, java, ruby, javascript,c/c++",5,2018
"Performance Co-Pilot","Performance Co-Pilot - system-level performance analysis toolkit","python,redis,c,linux,javascript",5,2018
radare,"Radare2 reverse engineering framework and toolset","c,cpp,rust,qt",5,2018
Ruby,"The Ruby programming language, libraries, and tools",ruby,5,2018
"Sage Mathematical Software System","Creating a viable free alternative to Magma, Maple, Mathematica and Matlab.","python 3,python,cython,c/c++",5,2018
"TEAMMATES @ National University of Singapore","An online feedback management system for education"," java,appengine,javascript",5,2018
"The ns-3 Network Simulator Project","ns-3 is a packet-level network simulator for research and education.","c/c++, python",5,2018
"Apertus Association","Open Technology for Professional Film Production","fpga,embedded,linux,c/c++,vhdl",4,2018
"Boston University / XIA","Crowdsourcing the future Internet","xia,linux kernel,c,advanced data structures, ddos",4,2018
"CiviCRM LLC","Build, engage and organize your constituents","php,mysql,angularjs,d3.js",4,2018
"CLiPS, University of Antwerp","Computational (Psycho)Linguistics","python,javascript,mongodb",4,2018
"Computational Biology @ University of Nebraska-Lincoln","Further knowledge in health through computation, data visualization and analysis","javascript,webgl,reactjs,flask",4,2018
"Global Alliance for Genomics and Health","We develop open standards and tools for genomics to benefit human health.","java,python,cloud,c/c++,mongodb",4,2018
"Open Source Robotics Foundation","Our mission is to support the development of OSS for use in robotics","c/c++,python,javascript,ros,gazebo",4,2018
phpMyAdmin,"A web interface for MySQL written in PHP","php,mysql,cakephp,jquery,javascript",4,2018
Plone,"The premier python-based open source CMS","python, javascript,html,css,reactjs",4,2018
QEMU,"QEMU is an open source machine emulator and virtualizer","c,kvm",4,2018
"RTEMS Project","RTEMS is a real-time operating system kernel used around the world and in space.","c,python,posix,bsd unix",4,2018
"Ruby Science Foundation","Scientific Computing tools for Ruby","ruby,c,c++,cuda",4,2018
Scilab,"Cross-platform numerical computational package and programming language.","c,c++,java,scilab",4,2018
SPDX,"Promoting open source compliance through standard communication of SW licenses.","rdf, python, java,json",4,2018
"STE||AR Group","HPX: The C++ Standard Library for Parallelism and Concurrency","c++,cuda,opencv,python,boost",4,2018
"The Java Pathfinder Team","JPF is a highly extensible Java virtual machine built for software verification","java,jvm,android,distributed systems",4,2018
"The NetBSD Foundation","Of course it runs NetBSD","c,bsd make",4,2018
appleseedhq,"A modern open source rendering engine for animation and visual effects","c/c++,qt",3,2018
"BeagleBoard.org Foundation","Open hardware and software for physical computing","linux,gcc,real-time,physical computing,iot",3,2018
"Canadian Centre for Computational Genomics","Analytical solutions for Next-Generation Sequencing data","r,perl,awk,bash,python",3,2018
"Checker Framework","Preventing programming errors before they happen, via easy-to-use verification",java,3,2018
"Classical Language Toolkit","NLP for the Ancient World"," python, javascript",3,2018
Conversations.im,"An open source instant messaging client and ecosystem based on Jabber & XMPP","java,android,xmpp,gtk,javascript",3,2018
DBpedia,"An Open Platform for a Large, Multilingual, Semantic Knowledge Graph","rdf,scala,sparql",3,2018
FreeType,"A software library to render fonts.","c,gnu make,gnu autotools,python,fonts",3,2018
Git,"Fast, scalable, distributed revision control system","c, shell script, git",3,2018
"GNU Octave","Free Your Numbers","c++,hg",3,2018
"JBoss Community","Community of Java projects around JBoss Middleware"," java,android,ios,opentracing,apache kafka",3,2018
Jitsi,"The most innovative Open Source video conferencing community. Period.","java,javascript,webrtc,react,react native",3,2018
MuseScore,"Create, play and print beautiful sheet music","qt,c++11,cpp,midi",3,2018
"Netfilter project","netfilter.org is the home of the Linux firewalling tools","linux kernel,c",3,2018
"Polly Labs","Promoting Polyhedral Compilation","c/c++,llvm,polly,isl,ppcg",3,2018
PostgreSQL,"PostgreSQL is a powerful, open source object-relational database system.","postgresql,sql,rdbms,ordbms,c",3,2018
ScummVM,"ScummVM is a GSoC umbrella for game preservation projects","c++,opengl,sdl,assembly",3,2018
"The Libreswan Project","Encrypting the Internet with IKE and IPsec","c,python, shell script,qemu",3,2018
webpack,"webpack is THE build tool for modern web applications run on NodeJS","javascript,web development,html5/css3,node.js,webassembly",3,2018
"WorldBrain.io - Verifying the Internet","Bookmarking extension that works like your brain - full-text search everything.","react,javascript,browser extension,datproject",3,2018
"Xi Editor Project","A modern text editor with a backend written in Rust.","rust,swift",3,2018
XWiki,"The Advanced Open Source Enterprise Wiki"," java,javascript,html5,css3,velocity",3,2018
3DTK,"The 3D Toolkit provides algorithms and methods to process 3D point clouds","c/c++, cmake,opencv,ros,boost",2,2018
"BeeWare Project","Tools for cross-platform Python application development.","python,ios,android,javascript, java",2,2018
"Berkman Klein Center for Internet & Society at Harvard University","Exploring cyberspace, sharing in its study, and helping pioneer its development.","ruby on rails,meteor.js,elasticsearch,javascript,elk",2,2018
"Center for Research In Open Source Software (CROSS) at UC Santa Cruz","Bridging the Gap Between Student Work and Open Source Software Projects","ceph,hadoop,c++,javascript, python",2,2018
"CHAOSS: Community Health Analytics Open Source Software","Advacing open source project health and sustainability","python 3, javascript",2,2018
"Cuneiform Digital Library Initiative","International digital library of artifacts inscribed with cuneiform writing","python,mariadb,rdf,php,nltk",2,2018
