name,tagline,technologies,slots,year
KDE,"","",50,2013
"Apache Software Foundation","","",44,2013
"GNU Project","","",30,2013
GNOME,"","",29,2013
Mozilla,"","",20,2013
"Python Software Foundation","","",18,2013
"R Project for statistical Computing","","",18,2013
Wikimedia,"","",18,2013
"Debian Project","","",15,2013
"The Java Pathfinder Team","","",15,2013
"Mono Project","","",14,2013
"National Resource for Network Biology (NRNB)","","",14,2013
"The Linux Foundation","","",14,2013
"The Honeynet Project","","",13,2013
"Blender Foundation","","",12,2013
"Computational Science and Engineering at TU Wien","","",12,2013
"Open Source Computer Vision Library (OpenCV)","","",12,2013
LibreOffice,"","",11,2013
OpenMRS,"","",11,2013
OWASP,"","",11,2013
"The Eclipse Foundation","","",11,2013
Apertium,"","",10,2013
FreeBSD,"","",10,2013
haskell.org,"","",10,2013
"Inclusive Design Institute","","",10,2013
JRuby,"","",10,2013
openSUSE,"","",10,2013
"Catroid Project","","",9,2013
QEMU.org,"","",9,2013
"Sahana Software Foundation","","",9,2013
"Scala Team","","",9,2013
"The Fedora Project","","",9,2013
"CERN SFT","","",8,2013
"ESUG (European Smalltalk User Group)","","",8,2013
"Genome Informatics","","",8,2013
"Joomla! (Open Source Matters)","","",8,2013
"Portland State University","","",8,2013
"RTEMS Project","","",8,2013
"Shogun Machine Learning Toolbox","","",8,2013
WordPress,"","",8,2013
"Battle for Wesnoth","","",7,2013
"Boost C++ Libraries","","",7,2013
BRL-CAD,"","",7,2013
Chromium,"","",7,2013
"Sugar Labs","","",7,2013
SymPy,"","",7,2013
"The CGAL Project","","",7,2013
BeagleBoard.org,"","",6,2013
Clojure,"","",6,2013
"Dept. of Biomedical Informatics, Emory University","","",6,2013
"Gentoo Foundation","","",6,2013
"International Neuroinformatics Coordinating Facility","","",6,2013
"JBoss Community","","",6,2013
Moodle,"","",6,2013
"National Evolutionary Synthesis Center (NESCent)","","",6,2013
OpenNMS,"","",6,2013
phpMyAdmin,"","",6,2013
"Systers, an Anita Borg Institute Community","","",6,2013
"The Wiselib","","",6,2013
Tor,"","",6,2013
WorldForge,"","",6,2013
"BEAM Community","","",5,2013
"Crystal Space","","",5,2013
"DBpedia & DBpedia Spotlight","","",5,2013
"DragonFly BSD","","",5,2013
"Freenet Project Inc","","",5,2013
Inkscape,"","",5,2013
"OGRE (Object-Oriented Graphics Rendering Engine) ","","",5,2013
"Open Networking Lab","","",5,2013
"PaGMO / PyGMO","","",5,2013
"phpBB Forum Software","","",5,2013
"Ruby on Rails","","",5,2013
SimpleCV,"","",5,2013
"52°North Initiative for Geospatial Open Source Software GmbH","","",4,2013
"Ankur India","","",4,2013
"Bloomington, IN, USA","","",4,2013
"Code for America","","",4,2013
coreboot,"","",4,2013
"Crowdsourcing Biology at the Scripps Research Institute","","",4,2013
"Drizzle Database","","",4,2013
GNSS-SDR,"","",4,2013
"GNU Radio","","",4,2013
"Health Information Systems Programme","","",4,2013
"LLVM Compiler Infrastructure","","",4,2013
"lmonade: scientific software distribution","","",4,2013
"Mifos (The Community for Open Source Microfinance)","","",4,2013
"Mixxx DJ Software","","",4,2013
"Monkey Project","","",4,2013
MuseScore,"","",4,2013
"Network Time Foundation","","",4,2013
"OGDF - Open Graph Drawing Framework","","",4,2013
Openwall,"","",4,2013
"Pidgin, Finch, and libpurple","","",4,2013
Processing,"","",4,2013
Raxa,"","",4,2013
"Ruby Science Foundation","","",4,2013
ScummVM,"","",4,2013
"The NetBSD Foundation","","",4,2013
"TYPO3 Association","","",4,2013
abiword,"","",3,2013
Benetech,"","",3,2013
"Django Software Foundation","","",3,2013
"Gephi Consortium","","",3,2013
"GNU Image Manipulation Program","","",3,2013
illumos,"","",3,2013
"Liquid Galaxy Project","","",3,2013
MariaDB,"","",3,2013
"Measurement Lab (M-Lab)","","",3,2013
Melange,"","",3,2013
Mercurial,"","",3,2013
"MetaBrainz Foundation Inc.","","",3,2013
"mlpack: scalable C++ machine learning library","","",3,2013
"MoinMoin Wiki","","",3,2013
"Netfilter Project","","",3,2013
"Nmap Security Scanner","","",3,2013
"Open Source Robotics Foundation","","",3,2013
"Oregon State University Open Source Lab (OSUOSL)","","",3,2013
"Parrot Foundation","","",3,2013
"PiTiVi video editor","","",3,2013
"Plan 9 from Bell Labs","","",3,2013
"PLASMA @ UMass","","",3,2013
"PostgreSQL Project","","",3,2013
"Public Laboratory for Open Technology and Science","","",3,2013
"Sage Mathematical Software System","","",3,2013
Samba,"","",3,2013
Sigmah,"","",3,2013
SuperTuxKart,"","",3,2013
"Swathanthra Malayalam Computing","","",3,2013
"The Centre for Computational Medicine","","",3,2013
"The Privly Foundation","","",3,2013
Tux4Kids,"","",3,2013
twitter,"","",3,2013
"Wine Project","","",3,2013
Wireshark,"","",3,2013
"World Wide Web Consortium (W3C)","","",3,2013
"X.Org Foundation","","",3,2013
AerospaceResearch.Net,"","",2,2013
"Bioconductor open source software for bioinformatics","","",2,2013
Buildbot,"","",2,2013
"Cesium community","","",2,2013
"Creative Commons","","",2,2013
"Crypto Stick","","",2,2013
"Distributed and Unified Numerics Environment (DUNE)","","",2,2013
Funf.org,"","",2,2013
Ganeti,"","",2,2013
"GCC - GNU Compiler Collection","","",2,2013
"Iowa Flood Center","","",2,2013
"Italian Mars Society ","","",2,2013
"LyX – The Document Processor","","",2,2013
"Maryland Institute for Technology in the Humanities","","",2,2013
MLton.org,"","",2,2013
"National Library of the Czech Republic","","",2,2013
"Plone Foundation","","",2,2013
"PRISM Model Checker","","",2,2013
PulseAudio,"","",2,2013
RoboComp,"","",2,2013
"Scaffold Hunter","","",2,2013
"Simple DirectMedia Layer","","",2,2013
"Steel Bank Common Lisp","","",2,2013
"The ns-3 Network Simulator Project","","",2,2013
"The Open Motion Planning Library","","",2,2013
ThinkUp,"","",2,2013
TimVideos.us,"","",2,2013
XBMC,"","",2,2013
"Google Open Source Programs Office","","",1,2013
"Linux Trace Toolkit next generation project (LTTng)","","",1,2013
MacPorts,"","",1,2013
"Open Lighting Project","","",1,2013
"OSGeo - Open Source Geospatial Foundation ","","",1,2013
"Quagga @ OpenSourceRouting / ISC","","",1,2013
RouteFlow,"","",1,2013
"The Concord Consortium","","",1,2013
