name,tagline,technologies,slots,year
Kapitan,"Generic templated configuration management for kubernetes and more","kubernetes,terraform,python,jinja2,jsonnet",1,2019
"Kodi Foundation","The ultimate entertainment center","c++,ffmpeg,sqlite,mysql,python",1,2019
"MBDyn - Multibody Dynamics","Scientific mechanical simulation tool for engineering research and development"," python,c++,scripting",1,2019
Moira,"Moira is a realtime alerting system based on Graphite data","golang, javascript,typescript,grafana,graphite",1,2019
"NV Access","Empowering lives through non-visual access to technology","python,c++,ui automation,iaccessible2,win32 api",1,2019
"Purr Data","Visual Programming Language for Realtime Multimedia","javascript,node.js, html5, c/c++",1,2019
Samba,"Samba is the standard Windows interoperability suite of programs for Linux/Unix.","c,smb",1,2019
shogun.ml,"Unified and efficient Machine Learning","c++11,c++17, python,swig,cmake",1,2019
Swift,"Swift is a high-performance application and system programming language.","swift,programming languages,compilers,ios,server",1,2019
SymbiFlow,"A completely FOSS toolchain for FPGAs.","verilog,fpga,xilinx",1,2019
"The Center for Connected Learning and Computer-Based Modeling","NetLogo: A language and IDE for programming and scientific simulations"," javascript,scala",1,2019
"The Libreswan Project","Encrypting the Internet with IKE and IPsec.","c,nss,virtualization,python,web",1,2019
"The Postgres Operator","A project to create an open-sourced managed Postgresql service for Kubernetes","postgresql,kubernetes,golang,operator,patroni",1,2019
Tokio,"The asynchronous run-time for the Rust programming language.","tokio_rs,rust",1,2019
"Tungsten Fabric","Secure software defined networking for any cloud, anywhere.","linux,kubernetes, python,networking, c/c++",1,2019
"UCSC Xena","Helping biologists see the bigger picture in diverse cancer genomics data","javascript, python, clojure, react",1,2019
"Xi Editor","A modern text editor with a backend written in Rust.","rust,swift",1,2019
ZynAddSubFX,"An open source musical software synthesizer with a wide range of possibilities"," c/c++,ruby,midi,open-sound-control,opengl",1,2019
"GNU Octave","Free Your Numbers","c++,hg",0,2019
"JSK Robotics Laboratory / The University of Tokyo","JSK is focusing on the fundamental functions & systems for intelligent robots","ros,lisp",0,2019
LibreHealth,"Healthcare for Humanity","java,javascript,webcomponents,mysql",0,2019
"The Wine Project","Wine runs Windows applications on Linux, BSD, Solaris, macOS and Android.","c, opengl, directx, x11, win32",0,2019
TimVideos.us,"Software & hardware for recording + streaming conferences, meetings, user groups","python,verilog,vhdl,c,fpga",0,2019
xpra,"screen for X11, remote access for MS Windows and Mac OS","python,javascript,c",0,2019
