name,tagline,technologies,slots,year
"Python Software Foundation","Python is programming language popular among scientists and more.","python,mercurial",49,2016
"Apache Software Foundation","Providing open source software to the public free of charge","java,ruby,python,javascript,couchdb",35,2016
KDE,"KDE is an international technology team that creates user-friendly software","qt,cmake,c++,php",32,2016
"R project for statistical computing","R is a free software environment for statistical computing and graphics","r,c,c++,fortran",22,2016
"Debian Project","The Universal Operating System","python,c,c++,ruby,django",20,2016
"OSGeo - The Open Source Geospatial Foundation","The Open Source Geospatial Foundation","python,sql,c,ogc standards,c++",20,2016
"Systers, an Anita Borg Institute Community","Increasing the number of women in computing fields and technology.","python,android,ios,mysql,ruby on rails",19,2016
FOSSASIA,"Open Technologies for Social Change","javascript,android,python,java,json api",18,2016
GNOME,"Ease, comfort and control","c,python,javascript,gtk+",18,2016
"GNU Project","The GNU Operating System","posix,c,lisp,python,eiffel",15,2016
"National Resource for Network Biology (NRNB)","Developing open source software to enable network-based biomedical discovery","c++,java,javascript,php,python",15,2016
Mozilla,"We're building a better Internet","c++,python,javascript,html,rust",13,2016
FreeBSD,"FreeBSD: The Foundation of the Internet","c/c++,clang,llvm,shell script,make",12,2016
"International Neuroinformatics Coordinating Facility","Advancing global collaborative brain research","c++,python,gpu,javascript,java",12,2016
Ruby,"The Ruby programming language, libraries, and tools",ruby,12,2016
"Eclipse Foundation","Eclipse is a community who collaborates on open source software.","java,geospatial,c/c++",11,2016
OpenCV,"Open Source Computer Vision and Machine Learning Library","c++,python,machine learning,computer vision",11,2016
"The Apertium Project","A free/open-source rule-based machine translation platform","c++,python,perl,xml,finite-state technologies",11,2016
"The Honeynet Project","The Honeynet Project - R&D for honeypot/honeynet technolgy and infosec research","android,machine learning,honeypots,python,html/javascript",11,2016
"The Linux Foundation","A non-profit consortium dedicated to fostering the growth of Linux","c,c++,python,mysql,cups",11,2016
WSO2,"Open Source Middleware Platform","middleware,java,soa,distributed computing,web services",11,2016
"Berkman Center for Internet and Society","An interdisciplinary university-wide research center focused on the Internet","ruby on rails,javascript,sql/nosql,meteor.js,go",10,2016
"CERN SFT","The SFT is part of CERN (European Organization for Nuclear Research).","c++,python,javascript,clang",10,2016
"Computational Science and Engineering at TU Wien","We bundle TU Wien's open source efforts in the area of science and engineering","javascript,html,css,java,c++",10,2016
"Java Pathfinder Team","JPF is a highly extensible Java virtual machine built for sofware verification","java,jvm,android,distributed systems",10,2016
"The Julia Language","The Julia Language","julia,atom,c++,javascript,c",10,2016
BRL-CAD,"We develop solid modeling, CAD, CAM, & other computer-aided technologies (CAx)","opencl,opengl,c/c++,python,tcl",9,2016
Drupal,"Drupal is a Free, Open, Modular CMS written in PHP. Websites, databases, +more","php,symfony,sql,javascript,html5",9,2016
"JBoss Community","Community of Java projects around JBoss Middleware","java,android,ide,aerogear,asciidoctor",9,2016
LibreOffice,"LibreOffice is a powerful cross-platform office suite.","c++,python,java,android,opengl",9,2016
OpenMRS,"Write code. Save lives.","java,groovy,html5,xml,hibernate",9,2016
Scala,"The programming language where object-oriented meets functional.","scala,jvm",9,2016
"Blender Foundation","We make a 100% free/open source 3D creation pipeline.","c,c++,python,opengl",8,2016
CiviCRM,"Contact relationship management for non-profits, NGOs and advocacy organizations","php,javascript,mysql,angularjs,d3js",8,2016
dbpediaspotlight,"Information Extraction framework from Wikipedia, Wikidata & Commons","java,scala,rdf,python,nosql",8,2016
Freifunk,"Freifunk is a non-commercial initiative for free and open wireless networks.","openwrt,olsr,batman,c,lua",8,2016
LabLua,"LabLua - Lua programming language research lab at PUC-Rio","lua,luarocks,elasticsearch,netbsd,céu",8,2016
Catrobat,"Our apps empower teens to visually create their own apps directly on their phone","android,java,html5,web,javascript",7,2016
FFmpeg,"Cross-platform software to convert audio and video.","c,asm,git",7,2016
"Indic Project","Improving Information Infrastructure and Access to Knowledge in Indian languages","android,python,javascript,ruby on rails,c++",7,2016
"jQuery Foundation","jQuery Foundation - home of jQuery, Dojo and many other JavaScript libraries","javascript,html5,css,jquery",7,2016
NumFOCUS,"NumFOCUS promotes open source scientific software.","python,javascript,julia,r",7,2016
"Open Bioinformatics Foundation","Supporting OSS and Open Science in the biological research community.","perl,python,ruby,java,haskell",7,2016
"Open Source Robotics Foundation","Open source software for use in robotics research, education, and industry.","ros,gazebo",7,2016
OpenAstronomy,"Confederation of open source projects in Astronomy","python,julia,c,numpy",7,2016
"Sustainable Computing Research Group ( SCoRe )","SCoRe has conducted research covering various aspects of Security, Mobile & IOT.","java,android,hadoop,python,golang",7,2016
SymPy,"Computer algebra system in Python","python,c++",7,2016
"TEAMMATES @ National University of Singapore","An online feedback management system for education","java,app engine,javascript,css,html",7,2016
"The LLVM Compiler Infrastructure","The LLVM Compiler Infrastructure","c,c++,llvm,clang",7,2016
"AOSSIE - The Australian National University's Open-Source Software Innovation and Education","Research-Intensive Open-Source Projects at Australia's Leading University","scala,lisp,llvm,python,postgresql",6,2016
BeagleBoard.org,"open hardware physical computing community with Linux","beaglebone,javascript,python,linux,c",6,2016
"Beam Community","From distributed systems, to robust servers and language design on the Erlang VM","erlang,elixir,xmpp,beam,mqtt",6,2016
"CCExtractor Development","The de-facto standard tool for everything related to subtitles.","c,video,ffmpeg,subtitles,linux",6,2016
"Fedora Project","Lead the advance of Free/Open Source Software/Content as collaborative community","python,flask,postgresql,html5,javascript",6,2016
"Health Information Systems Programme","Health information system which is being used by 47 countries across world.","java,android,javascript,reactjs,gradle",6,2016
"Mifos Initiative","End Poverty One Line of Code at a Time","java,javascript,angularjs,android,mysql",6,2016
"mlpack: a scalable C++ machine learning library","a scalable C++ machine learning library",c++,6,2016
"Open Genome Informatics","Open Genome Informatics represents the efforts of many bioinformatics projects.","python,java,html/javascript,nodejs,gwt",6,2016
openSUSE,"openSUSE Linux - The makers' choice for sysadmins, developers and desktop users","ruby on rails,angularjs,docker,linux,ruby",6,2016
"Portland State University","Portland State University","open hardware,language-agnostic",6,2016
QEMU,"Open source machine emulator and virtualizer","c,assembly,kvm",6,2016
"Wikimedia Foundation","A global movement with a mission to bring free educational content to the world","php,javascript,html,css,jquery",6,2016
"Biomedical Informatics, Emory University","Big Data for Healthcare and Biomedical Research","java,medical imaging,deep learning,hadoop,python",5,2016
"cBioPortal for Cancer Genomics","Open source software solutions of precision medicine for cancer patients","java,javascript,web,html,big data",5,2016
"Computational Biology @ University of Nebraska-Lincoln","Development of software technologies for biomedical research and applications.","webgl,javascript,mysql,react",5,2016
"Gentoo Foundation","A flexible, source-based Linux distribution.","shell script,c/c++,python,perl,sql",5,2016
"GNU Octave","GNU Octave : Free Your Numbers.","hg,c++",5,2016
Joomla!,"A Free and Open Source CMS, Trusted By Millions for their Websites","php,css,html,javascript,jquery",5,2016
MariaDB,"One of the most popular databases on the web with many notable users","mysql,mariadb,c,perl",5,2016
"MIT Media Lab","Build Your own Android Apps!","java,html/javascript,android",5,2016
"Nmap Security Scanner","Swiss Army knife of network discovery and security auditing","c/c++,lua,python,c,c++",5,2016
"Orange – Data Mining Fruitful & Fun","A cross-platform, visual-programming tool for data mining and visualization.","python,cython,qt,machine learning",5,2016
"OWASP Foundation","OWASP, The Open Web Application Security Project.","python,php,javascript,java,html",5,2016
"PRISM Model Checker","PRISM is a tool for formally verifying the correctness of probabilistic systems.","java,c++",5,2016
"Public Lab","Open hardware and software to help communities measure and analyze pollution","javascript,ruby on rails,leaflet,webrtc",5,2016
"Red Hen Lab","Red Hen Lab: Research on Multimodal Communication","high performance computing,machine learning,opencv,audio procesing,multimodal analysis",5,2016
Robocomp,"A framework for creating and modifying software components for robotics.","c++,python,zeroc ice,cmake,gnu/linux",5,2016
"RTEMS Project","Open Source Deterministic Real-Time Operating System for Embedded Systems","c,python,waf,embedded systems",5,2016
"Sage Mathematical Software System","open-source mathematical software system","python,javascript,cython,c++",5,2016
"Scilab Enterprises","Numerical computation IDE for engineering and scientific applications","scilab,c++,java,c,fortran",5,2016
"Sugar Labs","Learning software for children","python,javascript,gtk+",5,2016
"The Tor Project","Anonymity, privacy, and anti-censorship software","c,javascript,golang,python,browser extensions",5,2016
"Xapian Search Engine Library","Fast, scalable and flexible search","c++,unicode,swig,android,golang",5,2016
BuildmLearn,"Building m-Learning applications","python,django,bootstrap,android",4,2016
Ceph,"The Future of Storage","c/c++,python,object-storage",4,2016
"D Foundation","The D Foundation leads development of the D Programming Language.","dlang,c++",4,2016
GitHub,"How people build software","git,atom,node.js,ruby,c#",4,2016
Homebrew,"Package management software for OS X.","ruby,git,osx",4,2016
"Inclusive Design Institute","The IDI addresses the challenge of designing ICT to work for all potential users","javascript,jquery,html5,css,node.js",4,2016
KolibriOS,"KolibriOS Project team","fasm,flat assembler,x86 assembly,i386,i586",4,2016
Libvirt,"Stable API for easier virtualization.","c,qemu,xen,containers",4,2016
"Liquid Galaxy Project","Liquid Galaxy Project: wraparound open-source immersion!","javascript,ros,gis,cesium",4,2016
lowRISC,"Creating a fully open-source SoC design","verilog,fpga,chisel,c++,linux",4,2016
"MetaBrainz Foundation","We curate data and make it freely available!","python,perl,postgresql,javascript",4,2016
Moodle,"The world's open source learning platform","php,jquery,mysql,postgresql,javascript",4,2016
OpenStreetMap,"OpenStreetMap - Creating and distributing free geographic data for the world.","postgis,java,ruby,javascript,opengl",4,2016
ReactOS,"ReactOS is a free, open source, Windows compatible operating system.","c/c++,c",4,2016
"Ruby Science Foundation","Tools for Scientific Computing in Ruby","ruby,c programming,jruby,c/c++",4,2016
"Stony Brook University Biomedical Informatics","Biomedical Informatics at Stony Brook University","medical imaging,bioinformatics,hadoop,big data",4,2016
strace,"linux syscall tracer","linux,c,git,shell script,make",4,2016
"The NetBSD Foundation","of course it runs NetBSD","bsd,security,networking,c programming,kernel",4,2016
"The STE||AR Group","The STE||AR Group - Shaping a Scalable Future","parallel processing,high performance computing,c++,cuda,opencl",4,2016
"The syslog-ng project","Open source log management solution with over a million users worldwide.","c,java,python,big data,rust",4,2016
"52°North Initiative for Geospatial Open Source Software GmbH","52°North works on innovative ideas and technologies in geoinformatics","javascript,java,ogc standards,web services",3,2016
aimacode,"Code to accompany the book ""AI: A Modern Approach""","python,java,javascript",3,2016
ASCEND,"Equation-solving software for engineering system modelling","python,c,c/c++",3,2016
BioJS,"BioJS is an open source project that visualizes biological data using JavaScript","javascript,python",3,2016
"Canadian Centre for Computational Genomics (C3G) - Montreal node","Analytical solutions for Next-Generation Sequencing data","python,r-project,javascript,sql,git",3,2016
