name,tagline,technologies,slots,year
Celluloid,"Painless multi-threaded multi-core programming for Ruby.","ruby,multi-threading,multi-core,zeromq,high-resolution timers",3,2016
coreboot,"fast and flexible Open Source firmware","c,assembly,open hardware",3,2016
"Free and Open Source Silicon Foundation","Free and Open Source Digital Designs and their Ecosystem, EDA Tools and OpenRISC","open hardware,fpga,compiler,python,javascript",3,2016
"Gambit - Software Tools for Game Theory","Software for Analysis of Game Theory Models",javascript,3,2016
"Global Alliance for Genomics & Health","GA4GH develops open standards and tools for genomics to benefit human health","python,java,protobuf,sql",3,2016
gnss-sdr,"GNSS-SDR is an open source Global Navigation Satellite Systems software receiver","c/c++,c++11,c++14,gnss",3,2016
"GNU Mailman","Mailman is free software for managing electronic mailing lists.","python,email,django",3,2016
"Green Navigation","Routing Service for finding the shortest, fastest and most energy efficient way.","javascript,postgresql,polymer,go,electromobility",3,2016
"MBDyn, Department of Aerospace Science and Technology at Politecnico di Milano","MBDyn is a multidisciplinary Multibody Dynamics scientific simulation software.",c++,3,2016
"McGill Space Institute","Center bringing together scientists doing space-related research at McGill","python,sql,databases,big data",3,2016
"Mobile Robot Programming Toolkit (MRPT)","Mobile Robot Programming Toolkit: empowering C++ development in robotics","c++,ros,opencv,cmake,qt",3,2016
ModSecurity,"ModSecurity cross platform web application firewall","waf,web application firewall",3,2016
MovingBlocks,"Terasology: like an open source Minecraft - imagine the possibilities!","java,lwjgl,opengl,blender,gradle",3,2016
MuseScore,"MuseScore: Create, play and print beautiful sheet music","qt,c/c++,qml",3,2016
"Netfilter project","Netfilter project","firewall,linux kernel,networking",3,2016
"Physical Web Project","The Physical Web Project develops use cases around Google's the Physical Web IoT","internet of things,beacons,python,arduino",3,2016
"Plone Foundation","The premier python-based content management system","python,zope,javascript,rest,nosql",3,2016
radare,"radare is a reverse engineering framework and toolset","c,rust",3,2016
ScummVM,"ScummVM is a GSoC umbrella for game preservation projects","c++,sdl,opengl,assembly",3,2016
"Shogun Machine Learning Toolbox","Unified and efficient Machine Learning.","c++,python,swig,cmake",3,2016
"Soletta Project","Soletta Project is an open source framework for making IoT applications","c,python,javascript,networking,machine learning",3,2016
TARDIS-SN,"Unravelling Cosmic Explosions in Style","python,cython,c",3,2016
"Timelab Technologies Ltd.","We help scientists understanding information in time-series","python,javascript",3,2016
"Urban Energy Systems Laboratory, Empa","HUES is a platform for modeling & simulation of decentralized energy systems","python,milp,gis",3,2016
Vert.x,"Vert.x is a tool-kit for building reactive applications on the JVM.","java,reactive,javascript,groovy,micro-services",3,2016
"VideoLAN / VLMC Project","A non-linear video editor, based on VLC technology.","opengl,c++,c,assembly,qt",3,2016
vitrivr,"vitrivr allows you to use novel methods to search in videos","java,web,computer vision,machine learning,databases",3,2016
"Zulip Open Source Project","Zulip: Powerful open source group chat","python,javascript,django,android,ios",3,2016
ArchC,"ArchC is an Architecture Description Language","c++,python,archc",2,2016
"Boston University / XIA","Crowdsourcing the future Internet","xia,c,linux kernel,advanced data structures",2,2016
Chapel,"a Productive Parallel Programming Language","python,chapel,c,c++,high performance computing",2,2016
"Classical Language Toolkit","NLP for the ancient world","python,javascript,java",2,2016
CloudCV,"CloudCV - Large Scale Distribution Vision algorithms as a Cloud Service","python,javascript,lua,caffe,torch",2,2016
"Copyleft Games","Tools, libraries, and engines to help in game development","python,opengl,c",2,2016
Discourse,"A next-generation discussion forum.","ruby,ruby on rails,javascript,ember,docker",2,2016
"Distributed and Unified Numerics Environment (DUNE)","DUNE is a modular toolbox for solving PDEs with grid-based methods.","c++,python,cmake",2,2016
"Genes, Genomes and Variation","Ensembl Genome Browsers","mysql,javascript,perl",2,2016
"GNU Radio","The Free and Open Software Radio Ecosystem","c++,python,software radio,dsp,rf",2,2016
gRPC,"A high performance, open source, general RPC framework.","distributed systems,networking,micro-services,scalability,http/2",2,2016
Inkscape,"Inkscape is a professional vector graphics editor for Windows, OS X, and Linux.","c++,python,svg,css,gtk+",2,2016
Matrix.org,"An ambitious opensource project creating a new, decentralised comms ecosystem.","react,android,ios,golang,python",2,2016
"Mixxx DJ Software","DJ Your Way, For Free. Join our friendly community of hackers, DJs, and artists!","c++11,c++,qt,audio,opengl",2,2016
"Open Chemistry","Open source chemistry software libraries and tools","c++,opengl,python,javascript,webgl",2,2016
"Open Detection","Open Detection is a open source project for object detection and recognition.","c/c++,cmake,opencv,pcl,caffe",2,2016
"Open Ephys","Open-source electrophysiology","c++,juce",2,2016
"OpenKeychain (OpenPGP for Android)","OpenKeychain: Easy PGP for Android","android,openpgp",2,2016
ownCloud,"A safe home for all your data","javascript,php,css,html,sql",2,2016
P2PSP.org,"Shaping the future Internet TV","python,c++,webrtc,android,ios",2,2016
"Performance Co-Pilot","Performance Co-Pilot - system-level performance analysis toolkit","golang,ruby,java,linux kernel,javascript",2,2016
"The Wine Project","Wine runs Windows applications on Linux, BSD, Solaris and Mac OS X.","c,opengl,directx,x11,win32",2,2016
TimVideos.us,"TimVideos.us - FOSS event recording & streaming software and hardware.","vhdl,verilog,fpga,python,c",2,2016
Unitex/GramLab,"Unitex/GramLab is an open source, multilingual corpus processing suite","java,c++",2,2016
"X.Org Foundation","X Window System and related projects (Mesa, DRI, Wayland, etc.)","c,c++,opengl,vulkan,opencl",2,2016
CVXPY,"CVXPY is a Python-embedded modeling language for convex optimization problems.",python,1,2016
"Django Software Foundation","The web framework for perfectionists with deadlines.","python,django",1,2016
"FOSDEM VZW","The organization that handles all aspects of the FOSDEM conference","ruby on rails,postgresql,git",1,2016
Ganeti,"Cluster virtual server management software","python,haskell,kvm,xen,virtualization",1,2016
Git,"fast, scalable, distributed revision control system","c,shell script,git",1,2016
GPAC,"GPAC - Multimedia Open-Source Project","mp4,dash,mp4box,javascript,c++",1,2016
"Jenkins Project","Jenkins is an open-source automation server","java,groovy,jenkins,css,html",1,2016
"Oppia Foundation","Oppia is used for collaboratively building interactive and intelligent tutors.","javascript,app engine,python,css,angularjs",1,2016
"OSU Open Source Lab","OSU Open Source Lab","python,rest,javascript,ruby",1,2016
PLASMA-UMass,"PLASMA explores ways to make programming languages faster, safer, and easier.","javascript,c/c++,scala,go",1,2016
Sigmah,"Open source information management software for international aid projects","java,gwt",1,2016
"The Center for Connected Learning and Computer-Based Modeling","NetLogo: A language and IDE for programming and scientific simulations","javascript,scala,java,html5,css",1,2016
"The Monarch Initiative","An informatics platform for translational disease research","semantic web,javascript,text mining,named entity recognition,ontologies",1,2016
Wayland,"Wayland is a protocol for windowing systems on both desktops and embedded","opengl,wayland,c,xml,kms",1,2016
"JSK Robotics Laboratory","JSK Robotics Laboratory / The University of Tokyo","euslisp,openhrp,openrtm,ros",0,2016
Peragro,"Digital Assets Managed Neatly","python,blender,javascript,celery,django",0,2016
XWiki,"Generic web platform for developing collaborative apps on the wiki paradigm","java,javascript,html5,css3,velocity",0,2016
