name,tagline,technologies,slots,year
"Sage Mathematical Software System","open source math software","python,cython,c++,c",5,2017
Scilab,"Numerical computational package and high-level programming language.","c++,java,python,c,opengl",5,2017
"The ns-3 Network Simulator Project","ns-3 is a packet-level network simulator for research and education.","c++,python",5,2017
AboutCode,"Open Source for Open Source: software license, origin and packages discovery","python,c/c++,javascript, shell script,static analysis",4,2017
aimacode,"Code for the book ""Artificial Intelligence: A Modern Approach""","python, javascript,machine learning,artificial intelligence,java",4,2017
"Boost C++ Libraries","Boost provides free peer-reviewed portable C++ source libraries.","c++,c++11,c++14,boost",4,2017
Ceph,"The Future of Storage","c++,python,object-storage",4,2017
CloudCV,"Building platforms for reproducible AI research"," python,django,angularjs,reactjs, deep learning",4,2017
"Computational Biology @ University of Nebraska-Lincoln","Development of software technologies for biomedical research and applications.","javascript,react,java,webgl,mysql",4,2017
Discourse,"Civilized discussion for your community.","ruby on rails,ember, ruby,javascipt,html/css",4,2017
"Free and Open Source Silicon Foundation","Umbrella for various projects around open source hardware and tools","verilog,c,vhdl,python",4,2017
"GNU Octave","Free Your Numbers","c++,hg",4,2017
"JdeRobot - Universidad Rey Juan Carlos","A software framework for developing applications in robotics and computer vision","python,c/c++,ros,gazebo",4,2017
LibreHealth,"Healthcare for Humanity","java,php,javascript,mysql",4,2017
lowRISC,"Creating a fully open-source SoC design","verilog,chisel,risc-v,linux",4,2017
"MIT App Inventor","Empowering anyone to make their world a better place","java,javascipt,app,google app engine,gwt",4,2017
"Mobile Robot Programming Toolkit (MRPT)","Mobile Robot Programming Toolkit: empowering C++ development in robotics","qt,c++,opengl,wxwidgets,ros",4,2017
"Nmap Security Scanner","Swiss Army knife of network discovery and security auditing","c/c++,lua,python,c,c++",4,2017
"Open Technologies Alliance - GFOSS","Promote Openness through use and development of Open Standards and Technologies"," php, java, mysql, virtuoso,python",4,2017
"Plone Foundation","The premier python-based open source CMS","python, javascript,html/css",4,2017
PostgreSQL,"PostgreSQL is a powerful, open source object-relational database system.","postgresql,c,perl,sql",4,2017
QEMU,"Open source machine emulator and virtualizer","c,python",4,2017
ReactOS,"ReactOS is a free, open source, Windows compatible operating system.","c,c++",4,2017
Rocket.Chat,"The ultimate open source chat and messaging platform","javascript,meteor.js,mongo,webrtc",4,2017
"RTEMS Project","RTEMS is a real-time operating system used around the world and in space.","c,python,posix",4,2017
"Shogun Machine Learning Toolbox","Unified and efficient Machine Learning","c/c++,python,swig,machine learning,cmake",4,2017
"Software Product Data Exchange (SPDX)","Promoting open source compliance through standard communication of SW licenses.","rdf,python,java, github,c",4,2017
"STE||AR Group","The C++ Standards Library for Concurrency and Parallelism","c++,boost,hpx,c++17 parallel stl,parallel algorithms",4,2017
strace,"linux syscall tracer","linux,c,git,shell script,make",4,2017
"The CGAL Project","C++ library of computational geometry and geometry processing","c++,git,github",4,2017
Tor,"Internet privacy and anonymity","c, python,javascript,c++",4,2017
"X.Org Foundation","X Window System and related projects (Mesa, DRI, Wayland, etc.)","opengl,vulkan,x11,wayland,opencl",4,2017
Amahi,"Making Home Networking and Storage Simple"," android,golang,restful api,streaming,ruby on rails",3,2017
appleseedhq,"A modern open source rendering engine for animation and visual effects","c++,python,qt",3,2017
ArduPilot,"The worlds most advanced open source autopilot","c++,python,embedded,rtos,ros",3,2017
"BeeWare Project","The IDEs of Python. Tools for cross-platform Python application development.","python,mobile,ios,android",3,2017
Chapel,"a Productive Parallel Programming Language","chapel,python,high performance computing,c,c++",3,2017
"Eclipse Vert.x","Eclipse Vert.x is a tool-kit for building reactive applications on the JVM","java,reactive extensions,kotlin,microservices,event-loop",3,2017
"Gentoo Foundation","A flexible, source-based Linux distribution.","shell,c/c++,python,linux",3,2017
"JBoss Community","Community of Java projects around JBoss Middleware","java,android,asciidoctor,mobil,kubernetes",3,2017
Jitsi,"Advanced Real-Time Communication","webrtc,java,javascript,sip,xmpp",3,2017
"Liquid Galaxy Project","Get immersed in open-source!","javascript,ros,gis,cesiumjs",3,2017
Matrix.org,"An ambitious open source project creating a new decentralised comms ecosystem.","react, android,ios,golang,nodejs",3,2017
"Microkernel devroom","Confederation of microkernel projects (Genode, HelenOS, GNU Hurd, MINIX, Redox)","c,c++,rust,arm,x86",3,2017
MuseScore,"Free and open-source music notation software","c++11,qt5,qt,breakpad",3,2017
"Oppia Foundation","Oppia is a tool for collaboratively building interactive and intelligent tutors.","python,google app engine,angularjs,javascript,css",3,2017
ownCloud,"A safe home for all your data","php,qt, android,ios,javascript",3,2017
"PEcAn Project","Develop accessible tools for reproducible ecosystem modeling and forecasting","r, php,postgresql,javascript ,c",3,2017
phpMyAdmin,"A web interface for MySQL written in PHP","php,mysql,jquery,javascript,cakephp",3,2017
radare2,"Radare2 reverse engineering framework and toolset","c,rust,python,nodejs",3,2017
"Ruby Science Foundation","Tools for Scientific Computing in Ruby"," ruby,science,web,data,gpu",3,2017
"Stony Brook University, Biomedical Informatics","Advance biomedical knowledge through innovative data science research","big data,apache spark,matlab,c++,hadoop",3,2017
"The NetBSD Foundation","Of course it runs NetBSD!","virtualization,filesystems,network stack,arm,mips",3,2017
Tiled,"A free, easy to use and flexible 2D level editor.","qt,c++,git,github",3,2017
"Urban Energy Systems Laboratory, Empa","HUES is a platform for modeling & analysis of distributed energy systems","python,gis,fast fluid dynamics",3,2017
"Xapian Search Engine Library","Fast, scalable and flexible search","c++,unicode,swig,linux,golang",3,2017
"XBMC Foundation","Kodi Media Center","python,c++11,xml,git,drupal",3,2017
Babel,"Babel, the community driven compiler for writing next generation JavaScript","javascript,babel,nodejs",2,2017
"Boston University / XIA","Crowdsourcing the future Internet","xia, linux kernel, c, advanced data structures",2,2017
"Classical Language Toolkit","NLP for the ancient world"," python,javascript",2,2017
"CLiPS, University of Antwerp","Computational (Psycho)Linguistics","python,machine learning,mongodb,javascript ",2,2017
"Copyleft Games","Game libraries, frameworks, and development toolkits","python,opengl,javascript,c,xmpp",2,2017
"Environmental Data And Governance Initiative","International network addressing threats to US environmental & energy policy","python,javascript,ruby on rails,google cloud,go",2,2017
Frescobaldi,"Edit music scores with GNU LilyPond.","python,pyqt",2,2017
"Global Alliance for Genomics and Health","We develop open standards and tools for genomics to benefit human health."," python, java,sql,c++,mongodb",2,2017
"GNU Radio","The Free & Open Software Radio Ecosystem","software defined radio,c++,python,dsp",2,2017
Homebrew,"Homebrew is a package manager for macOS written in Ruby.","ruby,git,github,bash,macos",2,2017
Inkscape,"Inkscape is a professional vector graphics editor for Windows, Mac OSX, & Linux.","svg,css,c++,c++11,python",2,2017
"Intel Media and Audio for Linux","Open Source Media libraries, Applications and User space driver.","video,decode,encode,vpp,multimedia",2,2017
"Internet Archive","Universal Access to All Knowledge","python,javascript",2,2017
"JSK Robotics Laboratory","Humanoid Robotics Laboratory at the University of Tokyo","ros,lisp,prolog,openhrp,openrtm",2,2017
